ZONAS,ESPACIO,OBJETO,Tipo,Variante,L,A,H,m3
ZONAS SOCIALES,SALA / ESTAR,TECNOLOGIA,TV 85+,,2.00,0.25,1.20,0.75
ZONAS SOCIALES,SALA / ESTAR,TECNOLOGIA,Barra de sonido,,1.10,0.20,0.20,0.05
ZONAS SOCIALES,SALA / ESTAR,TECNOLOGIA,Home theater (kit),,0.60,0.40,0.40,0.40
ZONAS SOCIALES,SALA / ESTAR,TECNOLOGIA,Subwoofer,,0.50,0.50,0.50,0.13
ZONAS SOCIALES,SALA / ESTAR,TECNOLOGIA,Consola videojuegos,,0.35,0.30,0.15,0.02
ZONAS SOCIALES,SALA / ESTAR,TECNOLOGIA,Decodificador / streaming box,,0.25,0.20,0.10,0.01
ZONAS SOCIALES,SALA / ESTAR,TECNOLOGIA,Proyector,,0.40,0.30,0.20,0.02
ZONAS SOCIALES,SALA / ESTAR,TECNOLOGIA,Pantalla proyector,,2.00,0.15,0.15,0.05
ZONAS SOCIALES,SALA / ESTAR,TECNOLOGIA,Equipo de sonido torre,,0.40,0.40,1.20,0.19
ZONAS SOCIALES,SALA / ESTAR,TECNOLOGIA,Router / modem,,0.30,0.25,0.15,0.01
ZONAS SOCIALES,SALA / ESTAR,TECNOLOGIA,UPS / regulador,,0.40,0.30,0.20,0.02
ZONAS SOCIALES,SALA / ESTAR,LUMINARIAS / LAMPARAS,Colgante pequeña,,0.30,0.30,0.40,0.04
ZONAS SOCIALES,SALA / ESTAR,LUMINARIAS / LAMPARAS,Colgante mediana,,0.45,0.45,0.50,0.10
ZONAS SOCIALES,SALA / ESTAR,LUMINARIAS / LAMPARAS,Colgante grande,,0.60,0.60,0.60,0.22
ZONAS SOCIALES,SALA / ESTAR,LUMINARIAS / LAMPARAS,Araña / chandelier,,0.80,0.80,0.70,0.45
ZONAS SOCIALES,SALA / ESTAR,LUMINARIAS / LAMPARAS,Lineal comedor,,1.20,0.30,0.30,0.11
ZONAS SOCIALES,SALA / ESTAR,LUMINARIAS / LAMPARAS,Lámpara piso delgada,,0.40,0.40,1.60,0.26
ZONAS SOCIALES,SALA / ESTAR,LUMINARIAS / LAMPARAS,Lámpara piso decorativa,,0.50,0.50,1.80,0.45
ZONAS SOCIALES,SALA / ESTAR,LUMINARIAS / LAMPARAS,Lámpara arco,,1.50,0.40,2.00,1.20
ZONAS SOCIALES,SALA / ESTAR,LUMINARIAS / LAMPARAS,Trípode,,0.60,0.60,1.60,0.58
ZONAS SOCIALES,SALA / ESTAR,LUMINARIAS / LAMPARAS,Lámpara mesa pequeña,,0.25,0.25,0.40,0.03
ZONAS SOCIALES,SALA / ESTAR,LUMINARIAS / LAMPARAS,Lámpara mesa mediana,,0.35,0.35,0.55,0.07
ZONAS SOCIALES,SALA / ESTAR,LUMINARIAS / LAMPARAS,Lámpara mesa grande,,0.45,0.45,0.70,0.14
ZONAS SOCIALES,SALA / ESTAR,MUEBLES AUXILIARES,Mesa centro,Rectangular,1.20,0.60,0.45,0.32
ZONAS SOCIALES,SALA / ESTAR,MUEBLES AUXILIARES,Mesa centro,Redonda,0.90,0.90,0.45,0.36
ZONAS SOCIALES,SALA / ESTAR,MUEBLES AUXILIARES,Mesa lateral,Cuadrada,0.50,0.50,0.55,0.14
ZONAS SOCIALES,SALA / ESTAR,MUEBLES AUXILIARES,Mesa lateral,Redonda,0.50,0.50,0.55,0.14
ZONAS SOCIALES,SALA / ESTAR,MUEBLES AUXILIARES,Mesa auxiliar,Bandeja,0.60,0.40,0.50,0.12
ZONAS SOCIALES,SALA / ESTAR,MUEBLES AUXILIARES,Mesa nido (set 2),Apiladas,0.70,0.50,0.55,0.19
ZONAS SOCIALES,SALA / ESTAR,MUEBLES AUXILIARES,Mesa consola,Pasillo,1.20,0.35,0.80,0.34
